12,12,12
121
171.00,0.00,90.00,16.30
169.96,18.81,90.00,-86.63
166.86,37.39,90.00,61.60
161.73,55.52,90.00,51.02
154.65,72.98,90.00,68.41
145.68,89.55,90.00,77.24
134.94,105.03,90.00,82.12
122.57,119.24,90.00,91.19
108.71,132.00,90.00,98.61
93.53,143.16,90.00,106.83
77.21,152.58,90.00,118.88
59.96,160.14,90.00,131.93
41.98,165.77,90.00,146.07
23.49,169.38,90.00,162.14
4.71,170.94,90.00,176.73
-14.12,170.42,90.00,-169.78
-32.78,167.83,90.00,-154.08
-51.05,163.20,90.00,-138.90
-68.69,156.60,90.00,-125.73
-85.50,148.09,90.00,-112.97
-101.27,137.79,90.00,-102.67
-115.82,125.81,90.00,-95.41
-128.95,112.30,90.00,-86.17
-140.52,97.44,90.00,-78.74
-150.39,81.39,90.00,-74.89
-158.43,64.35,90.00,-60.11
-164.55,46.53,90.00,-39.16
-168.67,28.15,90.00,-32.32
-170.74,9.42,90.00,-87.73
-170.74,-9.42,90.00,99.83
-168.67,-28.15,90.00,35.81
-164.55,-46.53,90.00,39.14
-158.43,-64.35,90.00,60.01
-150.39,-81.39,90.00,74.82
-140.52,-97.44,90.00,78.53
-128.95,-112.30,90.00,85.86
-115.82,-125.81,90.00,95.14
-101.27,-137.79,90.00,102.50
-85.50,-148.09,90.00,112.84
-68.69,-156.60,90.00,125.61
-51.05,-163.20,90.00,138.82
-32.78,-167.83,90.00,154.07
-14.12,-170.42,90.00,169.82
4.71,-170.94,90.00,-176.73
23.49,-169.38,90.00,-162.20
41.98,-165.77,90.00,-146.16
59.96,-160.14,90.00,-132.01
77.21,-152.58,90.00,-118.92
93.53,-143.16,90.00,-106.86
108.71,-132.00,90.00,-98.47
122.57,-119.24,90.00,-90.45
134.94,-105.03,90.00,-81.08
145.68,-89.55,90.00,-77.79
154.65,-72.98,90.00,-69.31
161.73,-55.52,90.00,-46.87
166.86,-37.39,90.00,-31.34
169.96,-18.81,90.00,-80.57
192.00,0.00,90.00,0.43
191.08,18.82,90.00,10.60
188.31,37.46,90.00,20.47
183.73,55.73,90.00,30.89
177.38,73.48,90.00,42.53
169.33,90.51,90.00,54.68
159.64,106.67,90.00,66.70
148.42,121.80,90.00,78.85
135.76,135.76,90.00,91.09
121.80,148.42,90.00,102.97
106.67,159.64,90.00,114.59
90.51,169.33,90.00,126.31
73.48,177.38,90.00,137.96
55.73,183.73,90.00,149.21
37.46,188.31,90.00,160.07
18.82,191.08,90.00,170.34
0.00,192.00,90.00,-180.04
-18.82,191.08,90.00,-170.42
-37.46,188.31,90.00,-160.14
-55.73,183.73,90.00,-149.29
-73.48,177.38,90.00,-138.04
-90.51,169.33,90.00,-126.40
-106.67,159.64,90.00,-114.67
-121.80,148.42,90.00,-103.00
-135.76,135.76,90.00,-91.07
-148.42,121.80,90.00,-78.79
-159.64,106.67,90.00,-66.69
-169.33,90.51,90.00,-54.76
-177.38,73.48,90.00,-42.60
-183.73,55.73,90.00,-30.65
-188.31,37.46,90.00,-19.70
-191.08,18.82,90.00,-9.67
-192.00,0.00,90.00,-0.07
-191.08,-18.82,90.00,9.54
-188.31,-37.46,90.00,19.58
-183.73,-55.73,90.00,30.55
-177.38,-73.48,90.00,42.53
-169.33,-90.51,90.00,54.73
-159.64,-106.67,90.00,66.66
-148.42,-121.80,90.00,78.75
-135.76,-135.76,90.00,91.03
-121.80,-148.42,90.00,102.97
-106.67,-159.64,90.00,114.64
-90.51,-169.33,90.00,126.37
-73.48,-177.38,90.00,138.00
-55.73,-183.73,90.00,149.26
-37.46,-188.31,90.00,160.11
-18.82,-191.08,90.00,170.40
-0.00,-192.00,90.00,180.02
18.82,-191.08,90.00,-170.37
37.46,-188.31,90.00,-160.10
55.73,-183.73,90.00,-149.24
73.48,-177.38,90.00,-137.97
90.51,-169.33,90.00,-126.32
106.67,-159.64,90.00,-114.59
121.80,-148.42,90.00,-102.94
135.76,-135.76,90.00,-91.02
148.42,-121.80,90.00,-78.77
159.64,-106.67,90.00,-66.77
169.33,-90.51,90.00,-54.88
177.38,-73.48,90.00,-42.56
183.73,-55.73,90.00,-30.45
188.31,-37.46,90.00,-19.61
191.08,-18.82,90.00,-9.65
